n,d,t,result
1000000,u,1,  0.035
1000000,u,2,  0.014
1000000,u,4,  0.008
1000000,u,8,  0.007
10000000,u,1,  0.226
10000000,u,2,  0.147
10000000,u,4,  0.083
10000000,u,8,  0.050
100000000,u,1,  2.268
100000000,u,2,  1.278
100000000,u,4,  0.741
100000000,u,8,  0.465
1000000000,u,1, 22.554
1000000000,u,2, 14.489
1000000000,u,4, 11.815
1000000000,u,8, 10.732
1000000,n,1,  0.081
1000000,n,2,  0.042
1000000,n,4,  0.023
1000000,n,8,  0.015
10000000,n,1,  0.934
10000000,n,2,  0.496
10000000,n,4,  0.266
10000000,n,8,  0.153
100000000,n,1, 10.588
100000000,n,2,  5.536
100000000,n,4,  3.020
100000000,n,8,  1.665
1000000000,n,1,118.771
1000000000,n,2, 66.074
1000000000,n,4, 60.673
1000000000,n,8, 52.296
1000000,e,1,  0.087
1000000,e,2,  0.045
1000000,e,4,  0.024
1000000,e,8,  0.015
10000000,e,1,  0.987
10000000,e,2,  0.516
10000000,e,4,  0.266
10000000,e,8,  0.155
100000000,e,1, 11.396
100000000,e,2,  5.798
100000000,e,4,  3.019
100000000,e,8,  1.664
1000000000,e,1,122.450
1000000000,e,2, 66.544
1000000000,e,4, 56.261
1000000000,e,8, 56.859
